196225,195506,194925,184988,182747,182638,179045,200824,198138,198044
196178,185961,194925,181897,182143,182638,181282,183680,195803,185816
192121,200824,198138,198044,196225,195821,195817,195506,194925,194469
194469,194925,179045,200824,198138,198044,196225,195821,195817,195506
183299,183958,193363,183018,182143,192704,198077,190261,181282,184990
185165,182143,183680,192575,182696,188315,183639,183316,186726,196273
182551,184025,182143,186625,196551,200116,194211,204207,195127,189762
186625,182033,182143,181282,192173,185125,186135,188626,186726,194211
193355,184910,186135,182340,181282,185125,204207,182143,188315,182714
182606,194724,193363,189143,186229,185384,180868,193339,186734,191960
180252,190446,195501,188280,194809,182143,194426,195563,192452,183037
195523,183538,188371,192162,189863,194459,192242,187774,196342,189141
180113,185637,188279,183515,189730,186019,192543,182400,180367,183680
196542,188560,182352,186372,184910,188729,194742,188717,202420,198053
184069,188560,182352,186372,194742,184910,186902,181941,182603,182339
183639,183680,192575,194810,182696,187682,182720,180770,181543,188315
181982,190017,182392,184939,182975,196551,180533,184845,182201,183635
190156,184596,204207,195097,182651,188315,182714,193355,203649,180770
191874,184910,186339,182526,186183,183319,192627,185773,195821,191885
194742,189289,195097,182651,180770,188877,184596,182740,180615,196220
186739,188680,182714,191853,180638,183570,178856,183720,182651,184810
203187,203751,183019,184827,181897,184982,197948,182780,182720,180113
182430,195506,185717,195088,182715,184988,188416,183256,198424,198053
189314,194469,200824,192121,182747,182553,183016,198138,198044,182702
183205,195110,183778,194724,193851,188372,194002,185807,183203,183893
182638,184990,195506,184988,183958,193363,183018,189762,195817,183514
181051,184990,194533,195506,183117,184988,189762,195817,184625,185961
184366,195821,193839,183980,182277,189314,194501,192780,190017,189229
182494,184845,191960,190259,185100,194561,182021,181367,183666,203800
186026,186600,202335,196548,195553,193839,190523,190446,189962,186348
188868,182604,194541,185622,196259,182379,194444,184951,182973,195097
180324,198053,188372,198009,180308,195444,194533,185578,182207,180753
194721,181944,183537,183320,194541,185045,185824,183977,188270,186989
197957,195820,185622,187084,185460,183515,202134,193359,180113,188634
179079,195803,194457,190635,185806,182430,178843,185872,184939,184757
178878,183958,204123,194810,186365,188662,203244,180091,179959,180760
184726,178780,181659,193753,193355,182400,195740,180384,178772,185555
182505,194457,203802,197963,192864,188528,190446,188615,186026,187861
182973,190446,198053,183748,185393,183320,182637,182352,182259,179063
183213,195591,190446,184901,179912,184940,181052,180498,184130,192414
193680,190446,183958,193363,183018,186795,192974,194101,193916,186493
184809,190446,192974,183741,181953,185622,181557,187084,186795,194101
180113,184810,182436,196196,186726,194537,192150,188507,182340,182143
191076,182536,191032,183115,183333,183130,183795,192253,188717,185816
180772,191032,179245,196342,184901,185816,182715,182340,195690,196551
180293,204200,191032,185577,182340,187055,196820,183130,196342,184845
180399,191032,182340,194533,189545,192864,195506,195376,183019,185758
183308,186026,204129,202407,198439,184845,185555,183599,186633,195250
204151,186026,185125,192638,190805,186726,194102,192119,194211,192864
188448,186026,192150,192119,188662,183308,203800,186977,188528,183748
183140,189148,194109,187612,190805,194469,193371,193339,189347,185181
180533,191020,195088,180293,183317,183310,188535,196291,181982,191976
180859,185604,183083,185553,183556,181052,184173,188281,184988,190156
199942,186694,195591,184370,182463,197963,183893,184173,185816,185808
184907,195428,185196,182975,204208,182965,195536,195501,185773,185125
185555,186795,185260,191076,185813,203783,204129,202407,198439,184845
183140,194721,194436,191874,189347,194186,196551,194537,182893,196319
194522,195690,183019,188662,194926,203343,183515,181367,203802,202134
192245,193696,190259,186035,196387,195069,194811,183980,193359,183796
194459,196272,183538,185972,182493,184023,189863,192162,188371,188334
185094,186694,185712,189615,181982,180141,180749,184221,183720,185818
203807,184175,192285,180826,182352,190105,183318,199949,179257,189423
182199,191885,190921,190105,189615,186226,186025,184453,183538,188533
182742,188334,188507,184131,188626,183533,186389,194102,192337,192285
186773,189171,194797,183570,184218,198452,191810,183891,196058,194187
182201,190342,187812,179923,186226,191960,201111,201882,194501,192414
194091,193092,195563,204151,194190,195605,194533,180683,202879,192864
184939,184210,183308,183170,182210,183213,185055,191874,195250,192150
188396,180853,183935,184039,195992,185824,183977,188270,186989,182551
194444,180853,196483,193467,182780,194561,192627,186411,185546,194925
182332,180853,181143,182860,195591,196483,199942,189152,193467,190580
194561,180853,182201,183750,196483,194692,203795,193467,183885,182780
196008,196625,183019,190523,203725,192780,184525,195821,187987,182825
191837,195554,187055,186822,195260,186035,192704,190034,189421,192112
189770,189314,189347,183922,182198,188364,183590,183026,182971,194926
189347,203082,184907,188446,203737,185384,192253,183922,189769,183026
